Name,weight,style,family,displayName,downloadUrl,license,unit,tier,price,Random number
"LNT Natalia Mono Light Desktop License, 1-3 users",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_desktop_97454568jgs.zip,desktop,users,1-3,€60.00,97454568jgs
"LNT Natalia Mono Light Desktop License, 4-10 users",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_desktop_97454568jgs.zip,desktop,users,4-10,€90.00,97454568jgs
"LNT Natalia Mono Light Desktop License, 11-30 users",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_desktop_97454568jgs.zip,desktop,users,11-30,€150.00,97454568jgs
"LNT Natalia Mono Light Desktop License, 31-100 users",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_desktop_97454568jgs.zip,desktop,users,31-100,€300.00,97454568jgs
"LNT Natalia Mono Light Web License, <10k views/month",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_web_jf7k3fk9tlsje52.zip,web,views/month,<10k,€60.00,jf7k3fk9tlsje52
"LNT Natalia Mono Light Web License, 10k-100k views/month",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_web_jf7k3fk9tlsje53.zip,web,views/month,10k-100k,€120.00,jf7k3fk9tlsje53
"LNT Natalia Mono Light Web License, 100k-500k views/month",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_web_jf7k3fk9tlsje54.zip,web,views/month,100k-500k,€300.00,jf7k3fk9tlsje54
"LNT Natalia Mono Light Web License, 500k-1m views/month",light,roman,natalia_mono,LNT Natalia Mono Light,lnt-natalia-mono-light_web_jf7k3fk9tlsje55.zip,web,views/month,500k-1m,€600.00,jf7k3fk9tlsje55
"LNT Natalia Mono Light Italic Desktop License, 1-3 users",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_desktop_7sdfu7438da.zip,desktop,users,1-3,€60.00,7sdfu7438da
"LNT Natalia Mono Light Italic Desktop License, 4-10 users",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_desktop_7sdfu7438da.zip,desktop,users,4-10,€90.00,7sdfu7438da
"LNT Natalia Mono Light Italic Desktop License, 11-30 users",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_desktop_7sdfu7438da.zip,desktop,users,11-30,€150.00,7sdfu7438da
"LNT Natalia Mono Light Italic Desktop License, 31-100 users",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_desktop_7sdfu7438da.zip,desktop,users,31-100,€300.00,7sdfu7438da
"LNT Natalia Mono Light Italic Web License, <10k views/month",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_web_c629fkahdk9o.zip,web,views/month,<10k,€60.00,c629fkahdk9o
"LNT Natalia Mono Light Italic Web License, 10k-100k views/month",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_web_c629fkahdk9o.zip,web,views/month,10k-100k,€120.00,c629fkahdk9o
"LNT Natalia Mono Light Italic Web License, 100k-500k views/month",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_web_c629fkahdk9o.zip,web,views/month,100k-500k,€300.00,c629fkahdk9o
"LNT Natalia Mono Light Italic Web License, 500k-1m views/month",light,italic,natalia_mono,LNT Natalia Mono Light Italic,lnt-natalia-mono-light-italic_web_c629fkahdk9o.zip,web,views/month,500k-1m,€600.00,c629fkahdk9o
"LNT Natalia Mono Regular Desktop License, 1-3 users",regular,roman,natalia_mono,LNT Natalia Mono Regular,lnt-natalia-mono-regular_desktop_c629fkahdk9o.zip,desktop,users,1-3,€60.00,c629fkahdk9o
"LNT Natalia Mono Regular Desktop License, 4-10 users",regular,roman,natalia_mono,LNT Natalia Mono Regular,lnt-natalia-mono-regular_desktop_c629fkahdk9o.zip,desktop,users,4-10,€90.00,c629fkahdk9o
"LNT Natalia Mono Regular Desktop License, 11-30 users",regular,roman,natalia_mono,LNT Natalia Mono Regular,lnt-natalia-mono-regular_desktop_c629fkahdk9o.zip,desktop,users,11-30,€150.00,c629fkahdk9o
